type,title,country,date_added,release_year,rating,duration,listed_in,description,target_ages
Movie,Dick Johnson Is Dead,United States,"September 25, 2021",2020,PG-13,90 min,Documentaries,father near end life filmmak kirsten johnson stage death invent comic way help face inevit,Teens
TV Show,Blood & Water,South Africa,"September 24, 2021",2021,TV-MA,2 Seasons,"International TV Shows, TV Dramas, TV Mysteries",cross path parti cape town teen set prove whether privateschool swim star sister abduct birth,Adults
TV Show,Ganglands,United States,"September 24, 2021",2021,TV-MA,1 Season,"Crime TV Shows, International TV Shows, TV Action & Adventure",protect famili power drug lord skill thief mehdi expert team robber pull violent deadli turf war,Adults
TV Show,Jailbirds New Orleans,United States,"September 24, 2021",2021,TV-MA,1 Season,"Docuseries, Reality TV",feud flirtat toilet talk go among incarcer women orlean justic center new orlean gritti realiti seri,Adults
TV Show,Kota Factory,India,"September 24, 2021",2021,TV-MA,2 Seasons,"International TV Shows, Romantic TV Shows, TV Comedies",citi coach center known train india finest collegi mind earnest unexcept student friend navig campu life,Adults
TV Show,Midnight Mass,United States,"September 24, 2021",2021,TV-MA,1 Season,"TV Dramas, TV Horror, TV Mysteries",arriv charismat young priest bring gloriou miracl omin mysteri renew religi fervor die town desper believ,Adults
Movie,My Little Pony: A New Generation,United States,"September 24, 2021",2021,PG,91 min,Children & Family Movies,equestria divid brightey hero believ earth poni pegasi unicorn pal hoof heart she determin prove,Older Kids
Movie,Sankofa,"United States, Ghana, Burkina Faso, United Kingdom, Germany, Ethiopia","September 24, 2021",1993,TV-MA,125 min,"Dramas, Independent Movies, International Movies",photo shoot ghana american model slip back time becom enslav plantat bear wit agoni ancestr past,Adults
TV Show,The Great British Baking Show,United Kingdom,"September 24, 2021",2021,TV-14,9 Seasons,"British TV Shows, Reality TV",talent batch amateur baker face 10week competit whip best dish hope name uk best,Teens
Movie,The Starling,United States,"September 24, 2021",2021,PG-13,104 min,"Comedies, Dramas",woman adjust life loss contend feisti bird that taken garden husband who struggl find way forward,Teens
TV Show,"Vendetta: Truth, Lies and The Mafia",United States,"September 24, 2021",2021,TV-MA,1 Season,"Crime TV Shows, Docuseries, International TV Shows",sicili boast bold antimafia coalit happen tri bring organ crime accus crimin,Adults
TV Show,Bangkok Breaking,United States,"September 23, 2021",2021,TV-MA,1 Season,"Crime TV Shows, International TV Shows, TV Action & Adventure",struggl earn live bangkok man join emerg rescu servic realiz must unravel citywid conspiraci,Adults
Movie,Je Suis Karl,"Germany, Czech Republic","September 23, 2021",2021,TV-MA,127 min,"Dramas, International Movies",famili murder terrorist bomb young woman unknowingli lure join group kill,Adults
Movie,Confessions of an Invisible Girl,United States,"September 22, 2021",2021,TV-PG,91 min,"Children & Family Movies, Comedies",clever sociallyawkward tetê join new school shell anyth fit queen bee among classmat idea,Older Kids
TV Show,Crime Stories: India Detectives,United States,"September 22, 2021",2021,TV-MA,1 Season,"British TV Shows, Crime TV Shows, Docuseries",camera follow bengaluru polic job offer rare glimps complex challeng inner work four major crime investig,Adults
TV Show,Dear White People,United States,"September 22, 2021",2021,TV-MA,4 Seasons,"TV Comedies, TV Dramas",student color navig daili slight slipperi polit life ivi leagu colleg that nearli postraci think,Adults
Movie,Europe's Most Dangerous Man: Otto Skorzeny in Spain,United States,"September 22, 2021",2020,TV-MA,67 min,"Documentaries, International Movies",declassifi document reveal postwwii life otto skorzeni close hitler alli escap spain becam advis world presid,Adults
TV Show,Falsa identidad,Mexico,"September 22, 2021",2020,TV-MA,2 Seasons,"Crime TV Shows, Spanish-Language TV Shows, TV Dramas",stranger diego isabel flee home mexico pretend marri coupl escap drugdeal enemi abus husband,Adults
Movie,Intrusion,United States,"September 22, 2021",2021,TV-14,94 min,Thrillers,deadli home invas coupl new dream hous traumat wife search answer learn real danger begin,Teens
TV Show,Jaguar,United States,"September 22, 2021",2021,TV-MA,1 Season,"International TV Shows, Spanish-Language TV Shows, TV Action & Adventure",1960 holocaust survivor join group selftrain spi seek justic nazi flee spain hide wwii,Adults
